שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
באסל,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,2,17,16,7,5,2,2,10,2,2,2,5,6,5,2,6,9,11,35,25,28,15,12,14,10,14,5,2,5,2,10,7,2,2,8,2,2,2,2,2,2,2,0,0,2,0
באסם,231,2,0,0,0,2,5,0,0,2,0,5,2,2,6,2,2,2,5,6,2,2,6,7,7,8,7,9,14,9,8,13,10,6,2,2,2,5,2,2,2,0,2,2,2,2,7,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2
בהאא,316,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,21,11,17,11,11,8,5,2,5,7,5,9,2,10,5,7,9,6,7,8,5,9,11,6,19,16,10,6,9,10,2,9,2,5,2,2,2,2,2,0,2,2
ביאן,243,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0,2,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,9,7,18,8,7,13,5,6,11,2,2,5,12,9,2,8,8,5,2,2,7,7,2,2,6,6,2,2,2,2,2,2,2,2
בלאל,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,8,6,2,2,2,2,6,6,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,2,0,0,0,0,2,0
בשאר,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,2,0,0,2,0,0,2,2,2,0,5,2,7,2,2,5,2,5,12,2,2,2,2,5,2,2,2,2,2,2,2,0,2,0,0,2,2,0,0,0
בשיר,87,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,5,2,0,2,2,9,2,2,0,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0
ג'אד,145,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0,0,8,2,0,0,2,2,0,2,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,5,7,5,5,6,8,5,9,10,5,2,5,7
ג'אן,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,5,2,2,2,2
ג'בל,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0
ג'בר,100,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,5,2,0,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0
ג'ואד,414,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,2,0,0,0,0,2,2,2,13,15,11,9,8,11,10,12,10,9,11,6,13,7,10,8,7,6,12,15,8,10,18,9,11,12,14,8,16,15,8,9,8,10,6,12,5,5,7
ג'ואן,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,10,2,5,2,2,9,6,2,2,2,5,8,2,2,0,2,2
ג'וד,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,14,25,20,30,47,78,44,41,60,33,24,27
