שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ג'ירייס,100,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,2,2,2,2,2,2,2,0,0,8,8,0,0,0,2,0,2,0,2,0,0,2,2,2,2,5,2,2,2,0,2,5,2,2,0,2,2,2,2
ג'יריס,797,2,9,6,5,9,8,10,15,6,9,13,15,11,5,14,11,18,11,11,14,23,15,13,14,16,13,6,9,6,12,13,15,7,10,6,6,11,7,10,15,9,9,20,10,13,12,19,17,16,15,9,11,8,18,7,8,2,8,8,7,6,5,5,6,7,5,12,6,2,7,2,6,2,2
ג'לאל,69,0,0,0,2,2,0,2,0,0,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,9,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
ג'מאל,206,2,2,2,5,2,2,5,2,2,6,7,7,2,6,2,7,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
ג'מיל,384,5,2,2,2,7,2,7,9,2,2,9,5,13,5,9,5,7,5,7,2,2,6,2,5,2,7,2,2,5,2,2,5,2,8,2,2,8,2,8,5,2,5,8,8,7,5,0,6,2,2,7,2,2,2,6,2,2,6,2,7,2,2,2,6,2,8,2,2,2,5,8,2,5,2
ג'רייס,143,0,0,0,2,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,5,2,6,2,5,6,2,2,2,2,2,2,2,2,2,2,6,2,0,2,2,2,6,2,6,2,2,5,2,2
ג'ריס,167,0,0,0,2,0,0,0,2,2,0,2,0,0,0,2,2,2,0,2,2,0,2,2,0,0,2,2,0,2,2,0,2,2,2,2,5,2,2,2,2,9,2,5,2,2,2,5,2,7,13,2,2,5,2,2,6,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,2,0,2
גאבי,83,2,0,2,0,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,2,0,0,2,2,2,0,2,0,0,2,2,0,2,2,2,2,2,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0
גבריאל,148,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,0,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,0,6,2,0,2,6,5,6,7,6,5,2,2,6,9,7,6,8,2,8,5,2
גוזיף,86,0,0,0,0,2,2,0,2,2,2,2,2,0,2,0,2,0,0,0,2,0,2,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,5,5,2,2,2,2,2,2,0,2,2
גוליאן,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,2,2,2,2,2,2,5,2,6,7,2,10,2,2,5,7,0,2,6,2,5,2,2,2,2,2,0,2
גוני,92,0,0,0,2,0,2,0,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,5,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2
